id,eevp,eevp_source,trump2016,votes2012,votes2016,expected_votes,state,timestamp,weird_timestamps,hour_seconds,mail_in,time_cat,votes,vote_share_rep,vote_share_dem,absolute_diff_in_percent_vote_share,cum_num_Trump,cum_num_Biden,new_Trump_votes_added,new_Biden_votes_added,d1_NEW_votes,r_NEW_votes_added,rabs_NEW,diff_cat,outlier_new,d1_num,r_num,rabs_num,outlier_num
6505,94,edison,2970733,5742040,6166708,7000000,pennsylvania,2020-11-06T00:08:34Z,normal,00:08:34Z,overnight,6-Nov,6547218,0.499,0.489,0.01,3267061.782,3201589.602,6227.52,12637.458,7.16E-06,0.156098049,0.156098049,low,normal,2.12E-05,-0.256726417,0.256726417,normal
7745,93,edison,1221747,3125516,3316996,4100000,washington,2020-11-06T00:08:39Z,normal,00:08:39Z,overnight,6-Nov,3638575,0.376,0.6,0.224,1368104.2,2183145,497.072,793.2,4.89E-08,0.012906401,0.012906401,high,normal,0.000468182,1.259151147,1.259151147,normal
791,91,edison,673215,1558993,1644920,1850000,connecticut,2020-11-05T00:08:42Z,normal,00:08:42Z,overnight,5-Nov,1680127,0.401,0.583,0.182,673730.927,979514.041,779.945,1133.935,6.43E-08,0.014307515,0.014307515,high,normal,6.11E-06,0.137471291,0.137471291,normal
1950,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:08:45Z,normal,00:08:45Z,overnight,4-Nov,243447,0.644,0.334,0.31,156779.868,81311.298,868.443,82.173,2.84E-07,0.105408572,0.105408572,high,normal,8.09E-07,-0.147531753,0.147531753,normal
866,13,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:08:50Z,normal,00:08:50Z,overnight,4-Nov,1517513,0.53,0.461,0.069,804281.89,699573.493,403.86,351.282,5.26E-07,0.142978325,0.142978325,low,normal,1.27E-06,-0.221813218,0.221813218,normal
867,13,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:09:04Z,normal,00:09:04Z,overnight,4-Nov,1575006,0.532,0.46,0.072,837903.192,724502.76,33621.302,24929.267,2.28E-05,-0.790670031,0.790670031,low,normal,1.44E-06,-0.237375374,0.237375374,normal
2603,14,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:09:07Z,normal,00:09:07Z,overnight,4-Nov,317960,0.521,0.464,0.057,165657.16,147533.44,1022.56,312.115,2.85E-07,0.105712774,0.105712774,low,normal,1.09E-07,-0.054326187,0.054326187,normal
6567,96,edison,2970733,5742040,6166708,7000000,pennsylvania,2020-11-07T00:09:47Z,normal,00:09:47Z,overnight,7-Nov,6711274,0.492,0.495,0.003,3301946.808,3322080.63,1349.064,1357.29,1.24E-07,-0.00767642,0.00767642,low,normal,0.000434976,-0.451634836,0.451634836,normal
868,13,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:09:47Z,normal,00:09:47Z,overnight,4-Nov,1576355,0.532,0.459,0.073,838620.86,723546.945,717.668,-955.815,1.35E-07,0.072592932,0.072592932,low,normal,1.47E-06,-0.240135363,0.240135363,normal
2604,14,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:10:06Z,normal,00:10:06Z,overnight,4-Nov,320500,0.523,0.462,0.061,167621.5,148071,1964.34,537.56,9.18E-08,0.060389002,0.060389002,low,normal,1.19E-07,-0.056734892,0.056734892,normal
869,14,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:10:11Z,normal,00:10:11Z,overnight,4-Nov,1613677,0.531,0.46,0.071,856862.487,742291.42,18241.627,18744.475,5.78E-07,-0.150605223,0.150605223,low,normal,1.46E-06,-0.240063523,0.240063523,normal
2605,14,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:10:20Z,normal,00:10:20Z,overnight,4-Nov,322455,0.525,0.46,0.065,169288.875,148329.3,1667.375,258.3,1.11E-07,0.066354588,0.066354588,low,normal,1.29E-07,-0.05910252,0.05910252,normal
6568,96,edison,2970733,5742040,6166708,7000000,pennsylvania,2020-11-07T00:10:39Z,normal,00:10:39Z,overnight,7-Nov,6714029,0.492,0.495,0.003,3303302.268,3323444.355,1355.46,1363.725,1.28E-07,-0.007788791,0.007788791,low,normal,0.000435067,-0.451677313,0.451677313,normal
4951,0,edison,345790,710972,744296,805000,new-hampshire,2020-11-04T00:10:45Z,normal,00:10:45Z,overnight,4-Nov,2613,0.252,0.748,0.496,658.476,1954.524,642.486,1944.514,9.55E-07,0.192932488,0.192932488,high,normal,1.04E-08,-0.015866321,0.015866321,normal
2606,14,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:10:47Z,normal,00:10:47Z,overnight,4-Nov,335424,0.526,0.458,0.068,176433.024,153624.192,7144.149,5294.892,5.58E-08,-0.048210985,0.048210985,low,normal,1.43E-07,-0.062413175,0.062413175,normal
870,14,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:10:49Z,normal,00:10:49Z,overnight,4-Nov,1619774,0.532,0.459,0.073,861719.768,743476.266,4857.281,1184.846,1.59E-07,-0.080644211,0.080644211,low,normal,1.53E-06,-0.246254985,0.246254985,normal
