,eevp,eevp_source,vote_share_trd,trump2016,votes2012,votes2016,expected_votes,state,timestamp,hour_seconds,time_cat,vote_share_rep,vote_share_dem,votes,num_Trump,num_Biden,new_Trump,new_Biden,id,diff,d1_NEW,r_NEW,rabs_NEW,diff_cat,outlier,weird,
1137,3,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:24:14Z,00:24:14Z,4-Nov,0.435,0.554,175564,76370.34,97262.456,305.764,-9.064,1137,0.119,4.65E-07,0.134226071,0.134226071,low,normal,normal,
5573,0,edison,0,2362631,4505372,4741564,5600000,north-carolina,2020-11-04T00:24:22Z,00:24:22Z,4-Nov,0.933,0.067,15,13.995,1.005,13.995,1.005,5573,0.866,5.94E-07,0.151463901,0.151463901,high,normal,normal,
7508,2,edison,0,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:24:25Z,00:24:25Z,4-Nov,0.646,0.337,90359,58371.914,30450.983,40122.686,19537.229,7508,0.309,8.45E-05,-1.38151066,1.38151066,high,normal,normal,
1138,3,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:24:49Z,00:24:49Z,4-Nov,0.435,0.554,176131,76616.985,97576.574,246.645,314.118,1138,0.119,5.85E-07,0.150563237,0.150563237,low,normal,normal,
1448,95,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-05T00:24:51Z,00:24:51Z,5-Nov,0.499,0.489,4856434,2423360.566,2374796.226,2753.482,2698.302,1448,0.01,4.31E-07,-0.037041327,0.037041327,low,normal,normal,
1964,10,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:24:55Z,00:24:55Z,4-Nov,0.668,0.31,321671,214876.228,99718.01,1238.129,105.643,1964,0.358,1.84E-07,0.085016396,0.085016396,high,normal,normal,
900,46,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:24:56Z,00:24:56Z,4-Nov,0.498,0.492,5413273,2695809.954,2663330.316,8349.966,2852.858,900,0.006,1.11E-06,-0.215457227,0.215457227,low,normal,normal,
7509,2,edison,0,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:25:04Z,00:25:04Z,4-Nov,0.652,0.331,100347,65426.244,33214.857,7054.33,2763.874,7509,0.321,5.00E-07,-0.14425856,0.14425856,high,normal,normal,
901,46,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:25:07Z,00:25:07Z,4-Nov,0.499,0.492,5415649,2702408.851,2664499.308,6598.897,1168.992,901,0.007,7.96E-07,-0.181768858,0.181768858,low,normal,normal,
2619,17,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:25:19Z,00:25:19Z,4-Nov,0.569,0.416,401672,228551.368,167095.552,5015.044,235.991,2619,0.153,3.97E-07,-0.127697334,0.127697334,low,normal,normal,
